[Tue May 16 20:15:05.895002 2017] [:error] [pid 18920] [client 77.101.78.55:50790] script '/var/www/control.flareservers.co.uk/Testpanel/server_settings.php' not found or unable to stat
[Tue May 16 20:15:27.893553 2017] [:error] [pid 18920] [client 77.101.78.55:50795] PHP Parse error:  syntax error, unexpected '$row_srv' (T_VARIABLE) in /var/www/control.flareservers.co.uk/Testpanel/servers.php on line 49
[Tue May 16 22:15:51.975763 2017] [:error] [pid 24447] [client 90.192.94.144:61277] PHP Fatal error:  Uncaught Error: Cannot use object of type mysqli_result as array in /var/www/control.flareservers.co.uk/Testpanel/ajax/server_settings.php:160\nStack trace:\n#0 /var/www/control.flareservers.co.uk/Testpanel/ajax/ajax.php(85): require()\n#1 {main}\n  thrown in /var/www/control.flareservers.co.uk/Testpanel/ajax/server_settings.php on line 160, referer: https://control.flareservers.co.uk/Testpanel/index.php
[Tue May 16 22:15:52.344130 2017] [:error] [pid 23772] [client 90.192.94.144:61279] PHP Fatal error:  Uncaught Error: Cannot use object of type mysqli_result as array in /var/www/control.flareservers.co.uk/Testpanel/ajax/server_settings.php:160\nStack trace:\n#0 /var/www/control.flareservers.co.uk/Testpanel/ajax/ajax.php(85): require()\n#1 {main}\n  thrown in /var/www/control.flareservers.co.uk/Testpanel/ajax/server_settings.php on line 160, referer: https://control.flareservers.co.uk/Testpanel/index.php
[Tue May 16 22:15:58.333472 2017] [:error] [pid 24467] [client 90.192.94.144:61280] PHP Fatal error:  Uncaught Error: Cannot use object of type mysqli_result as array in /var/www/control.flareservers.co.uk/Testpanel/ajax/server_settings.php:160\nStack trace:\n#0 /var/www/control.flareservers.co.uk/Testpanel/ajax/ajax.php(85): require()\n#1 {main}\n  thrown in /var/www/control.flareservers.co.uk/Testpanel/ajax/server_settings.php on line 160, referer: https://control.flareservers.co.uk/Testpanel/index.php
[Tue May 16 22:16:05.264396 2017] [:error] [pid 23772] [client 90.192.94.144:61281] PHP Fatal error:  Uncaught Error: Cannot use object of type mysqli_result as array in /var/www/control.flareservers.co.uk/Testpanel/ajax/server_settings.php:160\nStack trace:\n#0 /var/www/control.flareservers.co.uk/Testpanel/ajax/ajax.php(85): require()\n#1 {main}\n  thrown in /var/www/control.flareservers.co.uk/Testpanel/ajax/server_settings.php on line 160, referer: https://control.flareservers.co.uk/Testpanel/index.php
[Tue May 16 22:16:05.856030 2017] [:error] [pid 24447] [client 90.192.94.144:61282] PHP Fatal error:  Uncaught Error: Cannot use object of type mysqli_result as array in /var/www/control.flareservers.co.uk/Testpanel/ajax/server_settings.php:160\nStack trace:\n#0 /var/www/control.flareservers.co.uk/Testpanel/ajax/ajax.php(85): require()\n#1 {main}\n  thrown in /var/www/control.flareservers.co.uk/Testpanel/ajax/server_settings.php on line 160, referer: https://control.flareservers.co.uk/Testpanel/index.php
[Tue May 16 22:16:06.246043 2017] [:error] [pid 24113] [client 90.192.94.144:61283] PHP Fatal error:  Uncaught Error: Cannot use object of type mysqli_result as array in /var/www/control.flareservers.co.uk/Testpanel/ajax/server_settings.php:160\nStack trace:\n#0 /var/www/control.flareservers.co.uk/Testpanel/ajax/ajax.php(85): require()\n#1 {main}\n  thrown in /var/www/control.flareservers.co.uk/Testpanel/ajax/server_settings.php on line 160, referer: https://control.flareservers.co.uk/Testpanel/index.php
[Tue May 16 22:16:06.626616 2017] [:error] [pid 23772] [client 90.192.94.144:61284] PHP Fatal error:  Uncaught Error: Cannot use object of type mysqli_result as array in /var/www/control.flareservers.co.uk/Testpanel/ajax/server_settings.php:160\nStack trace:\n#0 /var/www/control.flareservers.co.uk/Testpanel/ajax/ajax.php(85): require()\n#1 {main}\n  thrown in /var/www/control.flareservers.co.uk/Testpanel/ajax/server_settings.php on line 160, referer: https://control.flareservers.co.uk/Testpanel/index.php
[Tue May 16 22:16:06.958159 2017] [:error] [pid 24778] [client 90.192.94.144:61286] PHP Fatal error:  Uncaught Error: Cannot use object of type mysqli_result as array in /var/www/control.flareservers.co.uk/Testpanel/ajax/server_settings.php:160\nStack trace:\n#0 /var/www/control.flareservers.co.uk/Testpanel/ajax/ajax.php(85): require()\n#1 {main}\n  thrown in /var/www/control.flareservers.co.uk/Testpanel/ajax/server_settings.php on line 160, referer: https://control.flareservers.co.uk/Testpanel/index.php
[Tue May 16 22:16:06.962103 2017] [:error] [pid 24254] [client 90.192.94.144:61285] PHP Fatal error:  Uncaught Error: Cannot use object of type mysqli_result as array in /var/www/control.flareservers.co.uk/Testpanel/ajax/server_settings.php:160\nStack trace:\n#0 /var/www/control.flareservers.co.uk/Testpanel/ajax/ajax.php(85): require()\n#1 {main}\n  thrown in /var/www/control.flareservers.co.uk/Testpanel/ajax/server_settings.php on line 160, referer: https://control.flareservers.co.uk/Testpanel/index.php
[Tue May 16 22:16:11.633718 2017] [:error] [pid 23772] [client 90.192.94.144:61287] script '/var/www/control.flareservers.co.uk/Testpanel/SETTINGS.php' not found or unable to stat
